variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0447,risk_candidate,216,0.7777777777777778,0.5412538079204746,0.9392770910568843,0.9872534872534873,0.974025974025974,0.05714285714285714,0.5925925925925926,9,1.0,0.0,0.3163841807909605,0.09765846082471971,0.25928204957346157,0.4323012521149556,Random candidate from RC-SPE pooling family.,random_pool,0.663056572553505
random_0448,risk_candidate,216,0.7824074074074074,0.512987012987013,0.9455659520814826,0.9903799903799904,0.9675324675324676,0.5714285714285714,0.0,10,1.0,0.0,0.3682057276446522,0.1769065140899648,0.3053857436560182,0.5848853869857075,Random candidate from RC-SPE pooling family.,random_pool,1.3275195777328577
random_0449,risk_candidate,216,0.8287037037037037,0.6082251082251082,0.951917043100917,0.9983164983164983,0.9675324675324676,0.8571428571428571,0.0,5,1.0,0.0,0.3333333333333333,0.15514839403234376,0.25047827428066705,0.49504880982423266,Random candidate from RC-SPE pooling family.,random_pool,1.0964533674661219
random_0450,risk_candidate,216,0.7824074074074074,0.48354978354978356,0.9543761569091004,0.9978354978354979,0.9935064935064936,0.45714285714285713,0.0,21,1.0,0.0,0.3333333333333333,0.20266233236310646,0.2987978174636011,0.55721064105516,Random candidate from RC-SPE pooling family.,random_pool,1.8802194316490295
random_0451,risk_candidate,216,0.8194444444444444,0.6275773609106943,0.9322156366290354,0.9853294853294853,0.961038961038961,0.5142857142857142,0.4074074074074074,7,1.0,0.0,0.33255406195207476,0.2129010632936526,0.3283059610655355,0.6030485642050862,Random candidate from RC-SPE pooling family.,random_pool,1.8539812641278288
random_0452,risk_candidate,216,0.8194444444444444,0.6246432579765914,0.9562529842927034,0.9983164983164983,0.9935064935064936,0.02857142857142857,0.8518518518518519,4,1.0,0.0,0.3333333333333333,0.08646093518060659,0.23545852303314485,0.4258749779410029,Random candidate from RC-SPE pooling family.,random_pool,0.8943942597515155
random_0453,risk_candidate,216,0.9259259259259259,0.8731281064614397,0.9434904939177851,1.0,0.9675324675324676,0.8,0.8518518518518519,0,1.0,0.0,0.3333333333333333,0.09489838834509037,0.1516708462196991,0.3113808271733094,Random candidate from RC-SPE pooling family.,random_pool,0.6287700777719263
random_0454,risk_candidate,216,0.7453703703703703,0.4706589706589706,0.9075292872996238,0.9730639730639731,0.9675324675324676,0.0,0.4444444444444444,13,1.0,0.0,0.3050847457627119,0.1494474360310149,0.36580074120086564,0.6805796112302035,Random candidate from RC-SPE pooling family.,random_pool,0.7154252436228558
random_0455,risk_candidate,216,0.5879629629629629,0.5658329324995991,0.9356322407001079,0.9911014911014911,0.577922077922078,0.9714285714285714,0.14814814814814814,0,0.027538726333907058,0.9724612736660929,0.3389830508474576,0.07945634768531187,0.5109297834047561,0.805099880623459,Random candidate from RC-SPE pooling family.,random_pool,1.6882135327009722
random_0456,risk_candidate,216,0.7638888888888888,0.48667628667628665,0.9377597770075289,0.9867724867724867,0.987012987012987,0.02857142857142857,0.4444444444444444,14,1.0,0.0,0.3276836158192091,0.16106721176466943,0.3558957770918354,0.6369591828013739,Random candidate from RC-SPE pooling family.,random_pool,0.6207257447586565
random_0457,risk_candidate,216,0.7592592592592593,0.4613275613275613,0.9549391484824751,0.9990379990379991,0.9935064935064936,0.05714285714285714,0.3333333333333333,18,1.0,0.0,0.3333333333333333,0.14040730310015498,0.24873155185030513,0.43420934018567375,Random candidate from RC-SPE pooling family.,random_pool,1.1019136986119518
random_0458,risk_candidate,216,0.8611111111111112,0.7278980278980279,0.9425534675879567,0.9985569985569985,0.9805194805194806,0.3142857142857143,0.8888888888888888,1,1.0,0.0,0.3276836158192091,0.10779234123623609,0.1959354073012999,0.3968419119521987,Random candidate from RC-SPE pooling family.,random_pool,0.9803461673764732
random_0459,risk_candidate,216,0.7685185185185185,0.48148148148148145,0.9554142007376504,0.9980759980759981,1.0,0.0,0.4444444444444444,15,1.0,0.0,0.3333333333333333,0.13661596651477143,0.2709404289957159,0.4671237126505154,Random candidate from RC-SPE pooling family.,random_pool,1.2534697275576587
random_0460,risk_candidate,216,0.9027777777777778,0.822687189353856,0.954051447321061,0.9983164983164983,0.9675324675324676,0.6857142857142857,0.8148148148148148,0,1.0,0.0,0.3450224040522112,0.05481456532099592,0.1530458092425716,0.29989797291130044,Random candidate from RC-SPE pooling family.,random_pool,0.6331089251931674
